여자,4304
남자,2373
사람,1397
한남,1155
장애,905
짱깨,879
나라,839
페미,706
우리,699
생각,666
수준,570
얼굴,565
한국,527
결혼,500
정신,470
주제,461
어디,455
하나,451
냄새,446
조선족,426
머리,425
자기,417
중국,406
거지,383
전라도,374
게이,373
때문,348
흑인,344
인간,340
부모,340
문제,335
나이,304
인생,298
엄마,297
돼지,293
정도,278
소리,276
공부,267
김치,264
출신,258
군대,251
여성,248
이상,247
거기,243
누가,237
그게,234
요즘,234
텐데,231
자식,231
능력,228
쓰레기,217
사회,212
가난,211
인정,209
일본,208
홍어,206
차별,203
정신병,202
남성,202
동네,199
싸개,193
친구,193
그거,193
자살,192
수저,188
아줌마,185
세상,184
학교,183
교육,183
노예,182
운전,178
무식,177
노인,168
동남아,168
정상,164
난리,161
이해,158
이유,157
지능,156
건데,154
대학,152
자체,150
여기,148
빨갱이,147
화장,147
장애인,146
바리,146
가슴,145
필요,141
소추,138
다리,138
지방,132
이게,131
정치,130
연예인,129
조센징,129
백인,128
조선,126
도태,125
중국인,125
음식,125
남편,124
시간,123
저능아,122
열등,121
지하철,119
미개,119
회사,119
그건,119
개념,118
몸매,118
게임,118
한국인,117
운동,117
깜둥이,117
찐따,115
관리,114
짜증,113
직업,113
바퀴벌레,113
인종,112
세금,111
난민,111
이슬람,109
진심,107
범죄,107
얘기,106
평생,106
여경,106
가능,105
그것,105
서울,105
아빠,102
시녀,102
짐승,101
애초,101
김여사,100
벌레,100
시골,100
대부분,99
성격,99
경상도,97
범죄자,97
가정,97
지역,96
유전자,96
취급,96
혐오,96
자랑,96
이거,95
기분,95
국가,94
민이,94
계집,93
집안,93
외노,92
인성,91
세계,90
민폐,90
피부,90
도움,88
국민,88
충이,88
여대,87
기사,86
성별,86
나중,86
민족,85
그걸,85
행동,85
어딜,84
건가,84
임신,83
전라,83
방송,82
쌍도,82
배달,82
양심,82
담배,81
존재,81
현실,80
환자,80
정치인,79
외국인,78
의사,78
지체,78
아파트,78
외모,78
미국,78
살인,77
버러지,77
아이돌,76
연애,76
사고,76
조심,76
노가다,76
동양인,76
선생,75
하루,75
아들,75
자리,75
저기,75
세대,74
양아치,74
무시,74
옛날,73
양키,73
문화,73
레즈,73
고아,73
능지,73
방송인,72
따위,72
여친,71
엉덩이,71
시대,71
성형,71
동물,70
공익,70
관심,69
피해,69
건지,69
이기,68
특이,68
목소리,68
걱정,68
저거,68
사랑,67
모양,67
걸로,67
기본,67
외국,67
커피,67
아프리카,66
원숭이,66
쉰내,66
술집,65
댓글,65
문신,65
마음,65
집단,65
디언,65
인권,65
명품,64
병원,64
의식,64
사진,63
거리,63
시작,63
찌질,63
치마,63
남친,63
공장,63
후진국,63
대통령,62
말투,62
고생,62
백마,61
다음,61
동성애자,61
저게,61
뭔가,60
지네,60
잠재,60
기업,60
쓸모,60
경찰,59
할매,59
인도,59
추방,59
공무원,59
북한,59
할배,58
버스,58
임대,58
가족,58
그지,58
정상인,58
유충,58
양남,57
애자,57
생리,57
남충,57
방구석,57
마인드,56
남아,56
불편,56
물건,56
요새,56
생활,55
