,noun,tag,t_count
1345,색희,CV_POSITION,4287
1344,노약자,CV_POSITION,4287
1343,성판매자,CV_POSITION,4287
1342,피해망상자,CV_POSITION,4287
1341,정병,CV_POSITION,4287
1340,센징이,CV_POSITION,4287
1339,짱깨련,CV_POSITION,4287
1358,개슬람인,CV_POSITION,4287
1359,쌤통,CV_POSITION,4287
1360,극빈자,CV_POSITION,4287
1371,웜늬연,CV_POSITION,4287
1379,꿈나무,CV_POSITION,4287
1378,기초수급자,CV_POSITION,4287
1377,기독,CV_POSITION,4287
1376,기독교인,CV_POSITION,4287
1375,작성자,CV_POSITION,4287
1374,팬,CV_POSITION,4287
1373,문명인,CV_POSITION,4287
1372,프로,CV_POSITION,4287
1370,하녀,CV_POSITION,4287
1361,공직자,CV_POSITION,4287
1369,앰흑,CV_POSITION,4287
1368,심사위원,CV_POSITION,4287
1367,뚱녀,CV_POSITION,4287
1366,똥게이,CV_POSITION,4287
1365,노키즈존,CV_POSITION,4287
1364,프리패스,CV_POSITION,4287
1363,남고생,CV_POSITION,4287
1362,독재자,CV_POSITION,4287
1248,머슴,CV_POSITION,4287
1246,직원,CV_POSITION,4287
1426,대깨소,CV_POSITION,4287
1837,패션리더,CV_POSITION,4287
1817,군장,CV_POSITION,4287
1818,삼신,CV_POSITION,4287
1819,왕잣탱이,CV_POSITION,4287
1820,ㅋㅋ장애인,CV_POSITION,4287
1821,술떡녀,CV_POSITION,4287
1822,ㅋㅋㅋ장애인,CV_POSITION,4287
1823,삼대장,CV_POSITION,4287
1824,타자,CV_POSITION,4287
1825,독거녀,CV_POSITION,4287
1826,유해조수,CV_POSITION,4287
1827,원시인,CV_POSITION,4287
1828,핑계대마왕,CV_POSITION,4287
1829,주차요원,CV_POSITION,4287
1830,틀꼰복학생,CV_POSITION,4287
1831,틀녀,CV_POSITION,4287
1832,신입직원,CV_POSITION,4287
1833,짱개교수,CV_POSITION,4287
1834,틱장애인,CV_POSITION,4287
1835,틱톡커,CV_POSITION,4287
1816,초딩련,CV_POSITION,4287
1815,인턴,CV_POSITION,4287
1814,찐따도태남,CV_POSITION,4287
1803,새퀴,CV_POSITION,4287
1795,헐렁봊이,CV_POSITION,4287
1796,양반,CV_POSITION,4287
1797,졸업생,CV_POSITION,4287
1798,학부생,CV_POSITION,4287
1799,주구장,CV_POSITION,4287
1800,진상손님,CV_POSITION,4287
1801,한국여자,CV_POSITION,4287
1802,천사녀,CV_POSITION,4287
1804,저지능자,CV_POSITION,4287
1813,선장,CV_POSITION,4287
1805,수비수,CV_POSITION,4287
1806,정직원,CV_POSITION,4287
1807,짱개기자,CV_POSITION,4287
1808,짱개녀,CV_POSITION,4287
1809,짱골라,CV_POSITION,4287
1810,연습생,CV_POSITION,4287
1811,사신,CV_POSITION,4287
1812,짱깨유학생,CV_POSITION,4287
1836,팀원,CV_POSITION,4287
1838,사무라이,CV_POSITION,4287
1793,갑부,CV_POSITION,4287
1839,거리더,CV_POSITION,4287
1862,분노조절장애자,CV_POSITION,4287
1863,남자범죄자,CV_POSITION,4287
1864,교감,CV_POSITION,4287
1865,한량,CV_POSITION,4287
1866,할녀,CV_POSITION,4287
1867,서기,CV_POSITION,4287
1868,합격자,CV_POSITION,4287
1869,페미련,CV_POSITION,4287
1870,회원,CV_POSITION,4287
1871,닝겐,CV_POSITION,4287
1872,헬조센인,CV_POSITION,4287
1873,헬조센징,CV_POSITION,4287
1874,대선주자,CV_POSITION,4287
1875,혼혈인,CV_POSITION,4287
1876,규수,CV_POSITION,4287
1877,화이트칼라,CV_POSITION,4287
1878,대천사,CV_POSITION,4287
1879,흡연자,CV_POSITION,4287
1880,여자 히어로,CV_POSITION,4287
1861,예비범죄자,CV_POSITION,4287
1860,견찰,CV_POSITION,4287
1859,해외 팬,CV_POSITION,4287
1848,외국인노동자,CV_POSITION,4287
1840,페미쿵쾅언냐,CV_POSITION,4287
1841,마팬,CV_POSITION,4287
1842,편집장,CV_POSITION,4287
1843,폐녀자,CV_POSITION,4287
1844,질환자,CV_POSITION,4287
1845,총리,CV_POSITION,4287
1846,스폰녀,CV_POSITION,4287
1847,벼웅신,CV_POSITION,4287
1849,불신자,CV_POSITION,4287
1858,용의자,CV_POSITION,4287
1850,보천지,CV_POSITION,4287
1851,이등병,CV_POSITION,4287
1852,틀무새,CV_POSITION,4287
1853,초보운전자,CV_POSITION,4287
